"","Bacteria","Chla","Day_N","Day","L1"
"1","Curvibacter sp.",186,0,"D0",1
"2","Curvibacter sp.",178,0,"D0",1
"3","Curvibacter sp.",177,0,"D0",1
"4","Roseomonas sp.",173,0,"D0",1
"5","Roseomonas sp.",171,0,"D0",1
"6","Roseomonas sp.",176,0,"D0",1
"7","Mixed",162,0,"D0",1
"8","Mixed",165,0,"D0",1
"9","Mixed",165,0,"D0",1
"10","Axenic",170,0,"D0",1
"11","Axenic",185,0,"D0",1
"12","Curvibacter sp.",751,12,"D12",2
"13","Curvibacter sp.",994,12,"D12",2
"14","Curvibacter sp.",705,12,"D12",2
"15","Roseomonas sp.",640,12,"D12",2
"16","Roseomonas sp.",652,12,"D12",2
"17","Roseomonas sp.",717,12,"D12",2
"18","Mixed",793,12,"D12",2
"19","Mixed",716,12,"D12",2
"20","Mixed",563,12,"D12",2
"21","Axenic",878,12,"D12",2
"22","Axenic",762,12,"D12",2
"23","Curvibacter sp.",1091,15,"D15",3
"24","Curvibacter sp.",1235,15,"D15",3
"25","Curvibacter sp.",988,15,"D15",3
"26","Roseomonas sp.",878,15,"D15",3
"27","Roseomonas sp.",832,15,"D15",3
"28","Roseomonas sp.",933,15,"D15",3
"29","Mixed",1111,15,"D15",3
"30","Mixed",912,15,"D15",3
"31","Mixed",778,15,"D15",3
"32","Axenic",1193,15,"D15",3
"33","Axenic",1072,15,"D15",3
"34","Curvibacter sp.",1343,19,"D19",4
"35","Curvibacter sp.",1468,19,"D19",4
"36","Curvibacter sp.",1228,19,"D19",4
"37","Roseomonas sp.",947,19,"D19",4
"38","Roseomonas sp.",760,19,"D19",4
"39","Roseomonas sp.",986,19,"D19",4
"40","Mixed",916,19,"D19",4
"41","Mixed",933,19,"D19",4
"42","Mixed",803,19,"D19",4
"43","Axenic",1426,19,"D19",4
"44","Axenic",1281,19,"D19",4
"45","Curvibacter sp.",1487,22,"D22",5
"46","Curvibacter sp.",1532,22,"D22",5
"47","Curvibacter sp.",1442,22,"D22",5
"48","Roseomonas sp.",1022,22,"D22",5
"49","Roseomonas sp.",704,22,"D22",5
"50","Roseomonas sp.",1125,22,"D22",5
"51","Mixed",658,22,"D22",5
"52","Mixed",1019,22,"D22",5
"53","Mixed",779,22,"D22",5
"54","Axenic",1560,22,"D22",5
"55","Axenic",1487,22,"D22",5
"56","Curvibacter sp.",326,5,"D5",6
"57","Curvibacter sp.",405,5,"D5",6
"58","Curvibacter sp.",320,5,"D5",6
"59","Roseomonas sp.",340,5,"D5",6
"60","Roseomonas sp.",325,5,"D5",6
"61","Roseomonas sp.",358,5,"D5",6
"62","Mixed",402,5,"D5",6
"63","Mixed",346,5,"D5",6
"64","Mixed",303,5,"D5",6
"65","Axenic",403,5,"D5",6
"66","Axenic",368,5,"D5",6
"67","Curvibacter sp.",485,8,"D8",7
"68","Curvibacter sp.",600,8,"D8",7
"69","Curvibacter sp.",476,8,"D8",7
"70","Roseomonas sp.",447,8,"D8",7
"71","Roseomonas sp.",456,8,"D8",7
"72","Roseomonas sp.",515,8,"D8",7
"73","Mixed",586,8,"D8",7
"74","Mixed",476,8,"D8",7
"75","Mixed",407,8,"D8",7
"76","Axenic",596,8,"D8",7
"77","Axenic",509,8,"D8",7
